SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
239,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government Polytechnic AahvaDang 616 (Id: C387),The Dangs,Technical/Polytechnic,378,66,444,21,2,23,1,1,19.31,13.11
240,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government Polytechnic Ahmedabad 617 (Id: C351),Ahmadabad,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
241,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicBhuj 621 (Id: C56),Kachchh,Technical/Polytechnic,1986,92,2078,32,9,41,0,0,50.69,16.9
242,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicChotta Udepur 622 (Id: C277),Vadodara,Technical/Polytechnic,1214,37,1251,43,2,45,0,0,27.8,9.27
243,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicDahod 630 (Id: C217),Dohad,Technical/Polytechnic,1266,263,1529,67,12,79,1,1,19.36,13.12
244,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicGandhinagar (Id: C237),Gandhinagar,Technical/Polytechnic,2472,971,3443,57,33,90,1,1,38.26,19.42
245,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicGandhinagar 623 (Id: C237),Gandhinagar,Technical/Polytechnic,2472,971,3443,57,33,90,1,0,38.26,16.09
246,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government Polytechnic Godhra 618 (Id: C357),Panch Mahals,Technical/Polytechnic,932,57,989,31,2,33,0,1,29.97,13.33
247,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicHimmatnagar 624 (Id: C337),Sabar Kantha,Technical/Polytechnic,1621,376,1997,28,20,48,1,0,41.61,17.21
248,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicJamnagar 625 (Id: C51),Jamnagar,Technical/Polytechnic,1366,326,1692,55,22,77,0,0,21.98,7.33
249,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government Polytechnic Junagadh 619 (Id: C369),Jamnagar,Technical/Polytechnic,431,50,481,25,4,29,0,0,16.59,5.53
250,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),GOVERNMENT POLYTECHNIC KHEDA  972 (Id: C48522),Kheda,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
251,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),GOVERNMENT POLYTECHNIC 0VSARI 975 (Id: C48476),Navsari,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
252,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicPalanpur 626 (Id: C416),Banas Kantha,Technical/Polytechnic,2006,149,2155,73,12,85,1,0,25.36,11.79
253,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicPorbandar 627 (Id: C279),Porbandar,Technical/Polytechnic,1268,328,1596,44,14,58,0,1,27.52,12.51
254,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government Polytechnic Rajkot 620 (Id: C243),Rajkot,Technical/Polytechnic,2900,310,3210,101,21,122,0,0,26.32,8.78
255,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),GOVERNMENT POLYTECHNIC Rajpipla  973 (Id: C48523),Bharuch,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
256,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicVadnagar 628 (Id: C187),Mahesana,Technical/Polytechnic,372,66,438,18,10,28,1,1,15.65,11.89
257,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicVadnagar 628 (Id: C187),Patan,Technical/Polytechnic,372,66,438,18,10,28,0,0,15.65,5.22
258,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Government PolytechnicValsad 629 (Id: C300),Valsad,Technical/Polytechnic,2103,238,2341,49,13,62,1,1,37.76,19.26
259,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),GOVERNMENT POLYTECHNIC VYARA 974 (Id: C48673),Surat,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
260,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),GROW MORE FACULTY OF DIPLOMA ENGINEERING684 (Id: C48759),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
261,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),GUJARAT INSTITUTE OF TECHNICAL STUDIES  967 (Id: C48581),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
262,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),H. B. Patel Institute of Diploma Engineering and Technology (676)Limbodara Lunavada (Id: C184),Gandhinagar,Technical/Polytechnic,805,43,848,26,1,27,0,1,31.41,13.81
263,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),H. B. Patel Institute of Diploma Engineering and Technology Limbodara Lunavada 676 (Id: C184),Gandhinagar,Technical/Polytechnic,805,43,848,26,1,27,1,0,31.41,13.81
264,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),HJD INSTITUTE OF TECHNICAL EDUCATION AND RESEARCH968 (Id: C48649),Kachchh,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
265,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Image Engg. And Technology Institute Kheda 683 (Id: C205),Kheda,Technical/Polytechnic,752,19,771,46,11,57,1,0,13.53,7.85
266,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),IPCOWALA INSTITUTE OF ENGINEERING AND TECHNOLOGY951 (Id: C49600),Anand,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
267,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),JASHODABA POLYTECHNIC INSTITUTE SIDHPUR (Id: C47930),Patan,Technical/Polytechnic,217,4,221,6,3,9,0,1,24.56,11.52
268,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),JASHODABA POLYTECHNIC INSTITUTE  SIDHPUR 952 (Id: C47930),Patan,Technical/Polytechnic,217,4,221,6,3,9,1,0,24.56,11.52
269,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),JAYVANTRAI HARRAI DESAI POLYTECHNIC PALSA0 (Id: C45264),Surat,Technical/Polytechnic,526,44,570,29,4,33,0,1,17.28,9.1
270,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),JAYVANTRAI HARRAI DESAI POLYTECHNIC PALSA0 686 (Id: C45264),Surat,Technical/Polytechnic,526,44,570,29,4,33,0,0,17.28,5.76
271,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),J.J.C.E. Trust Sanchalit N.R.Vekaria Insti. Of Tech.  Junagadh 679 (Id: C126),Junagadh,Technical/Polytechnic,282,30,312,17,12,29,0,1,10.76,6.92
272,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),K.D.PolytechnicPatan 631 (Id: C156),Patan,Technical/Polytechnic,2026,377,2403,74,18,92,0,1,26.12,12.04
273,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),K J INSTITUTE OF ENGINEERING AND TECHNOLOGY957 (Id: C48651),Vadodara,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
274,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),K.P.Thakkar Swa. Krishanajeevandas Insti of TechSokli 632 (Id: C21),Ahmadabad,Technical/Polytechnic,1199,43,1242,29,7,36,0,1,34.5,14.84
275,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Lakhdhirji Enggniering collegeMorbi. 031 (Id: C191),Rajkot,Technical/Polytechnic,1406,155,1561,50,12,62,1,1,25.18,15.06
276,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),LAXMI INSTITUTE OF TECHNOLOGY SARIGAM (2ND SHIFT) 691 (Id: C47849),Valsad,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
277,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),LEADS INTSTITUTE OF TECHNOLOGY AND ENGINEERING964 (Id: C48648),Bharuch,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
278,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),L.J.PolytechnicAhmedabad 633 (Id: C95),Ahmadabad,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
279,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),L. M. College Of Pharmacy (Diploma) 408 (Id: C458),Ahmadabad,Technical/Polytechnic,44,45,89,4,5,9,1,1,9.89,9.97
280,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),MAHAVIR SWAMI COLLEGE OF POLYTECHNIC  955 (Id: C48582),Surat,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
281,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Merchant Polytechnic Visnagar 636 (Id: C240),Mahesana,Technical/Polytechnic,1451,86,1537,70,17,87,0,1,17.67,9.23
282,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),M.L.Institute of Diploma Studies Bhandu 635 (Id: C226),Mahesana,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
283,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),M. N. College Of Pharmacy (Diploma) Khambhat 409 (Id: C457),Anand,Technical/Polytechnic,61,33,94,5,1,6,0,1,15.67,8.56
284,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Narayanbhai Bhikhabhai Patel PolytechnicPiludara Mehsana 668 (Id: C215),Mahesana,Technical/Polytechnic,1233,43,1276,44,7,51,1,1,25.02,15.01
285,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),0VSARJAN POLYTECHNIC RAMPUR KUWAIDA (Id: C45265),Mahesana,Technical/Polytechnic,629,14,643,26,11,37,0,1,17.38,9.13
286,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),0VSARJAN POLYTECHNIC RAMPUR KUWAIDA 687 (Id: C45265),Mahesana,Technical/Polytechnic,629,14,643,26,11,37,0,1,17.38,9.13
287,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),0VSARJAN SCHOOL OF TECHNOLOGY960 (Id: C49604),Gandhinagar,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
288,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),N.G.Patel PolytechnicIsroli 637 (Id: C268),Surat,Technical/Polytechnic,1234,178,1412,61,11,72,1,0,19.62,9.88
289,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),NOBLE DIPLOMA ENGINEERING COLLEGE  692 (Id: C48518),Junagadh,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
290,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Om Insti. Of Eng.and Technology Junagadh 665 (Id: C210),Junagadh,Technical/Polytechnic,788,88,876,42,11,53,1,0,16.53,8.85
291,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Omshanti Diploma Engg Rajkot 672 (Id: C353),Rajkot,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
292,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Pacific School of Engineering 976 (Id: C48516),Surat,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
293,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),PACIFIC SCHOOL OF ENGINEERING  976 (Id: C48516),Surat,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
294,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Parul Institute of Diploma Studies 638 (Id: C81),Vadodara,Technical/Polytechnic,3457,604,4061,132,73,205,0,0,19.81,6.61
295,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Parul Institute of Diploma StudiesLimda 639 (Id: C157),Vadodara,Technical/Polytechnic,1233,371,1604,44,50,94,1,1,17.07,12.36
296,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),RADHE INSTITUTE OF ENGINEERING AND TECHNOLOGY UPLETA970 (Id: C50653),Rajkot,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
297,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),R.C.Technical InstituteAhmedabad 640 (Id: C206),Ahmadabad,Technical/Polytechnic,2150,443,2593,92,29,121,0,0,21.43,7.15
298,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),R.H.PATEL INSTI. OF TECHNOLOGYGOBLAJKHEDA 641 (Id: C27),Kheda,Technical/Polytechnic,326,3,329,96,12,108,0,0,3.05,1.02
299,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),RMS Polytechnic Waghodiya 642 (Id: C403),Vadodara,Technical/Polytechnic,2275,133,2408,99,27,126,0,0,19.12,6.38
300,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SANSKAR INSTITUTE OF TECHNOLOGY (953) (Id: C47850),Vadodara,Technical/Polytechnic,203,6,209,16,0,16,0,1,13.07,7.69
301,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Sarvodaya Polytechnic Institute Limbdi 643 (Id: C158),Surendranagar,Technical/Polytechnic,1140,31,1171,49,7,56,1,0,20.92,10.31
302,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Savitaben Dahyabhai Patel Polytechnic Mehsana 669 (Id: C374),Mahesana,Technical/Polytechnic,1027,26,1053,42,8,50,1,0,21.06,10.36
303,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),S.B. Polytechnic Savli Vadodara 666 (Id: C77),Vadodara,Technical/Polytechnic,1209,132,1341,39,28,67,0,1,20.02,10.01
304,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Shantilal Shah Pharmacy College (Diploma) 414 (Id: C463),Bhavnagar,Technical/Polytechnic,31,18,49,5,1,6,0,1,8.17,6.06
305,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SHREE DHANVANTARY COLLEGE OF DIPLOMA ENGINEERING981 (Id: C48650),Surat,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
306,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Shree Hari Polytechnic Institute Nani Kadi 677 (Id: C71),Mahesana,Technical/Polytechnic,1105,44,1149,47,11,58,1,1,19.82,13.28
307,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SHREE H N SHUKLA DIPLOMA ENGINEERING COLLEGE  980 (Id: C48580),Rajkot,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
308,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SHREE PANDIT 0THULALJI VYAS TECHNICAL CAMPUS  962 (Id: C48584),Surendranagar,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
309,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SHREE SWAMI0RAYAN POLYTECHNIC (Id: C50210),Gandhinagar,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
310,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SHREE VASUDEVBHAI AND KANTILAL PATEL INSTITUTE OF ENGINEERING 971 (Id: C48475),Mahesana,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
311,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Shri B. M. Shah College Of Pharmacy (Diploma) Modasa 415 (Id: C464),Sabar Kantha,Technical/Polytechnic,11,12,23,4,1,5,0,1,4.6,4.87
312,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SHRI J M SABVA INSTITUTE OF ENGINEERING AND TECHNOLOGY 698 (Id: C48668),Bhavnagar,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
313,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Shri K.J.Polytechnic(645)Bharuch (Id: C318),Bharuch,Technical/Polytechnic,2395,680,3075,43,33,76,1,0,40.47,16.83
314,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Shri K.J.PolytechnicBharuch 645 (Id: C318),Bharuch,Technical/Polytechnic,2395,680,3075,43,33,76,0,1,40.47,16.83
315,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY  954 (Id: C48515),Rajkot,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
316,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Shri N.M.Gopani Polytechnic instituteRanpur 646 (Id: C255),Ahmadabad,Technical/Polytechnic,2021,25,2046,88,10,98,1,1,20.88,13.63
317,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SHRI SATSANGI SAKETDHAM RAM ASRAM GROUP OF INSTITUTIONS 690 (Id: C48670),Mahesana,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
318,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Shri Tapi Brahmcharyashram sabha college of Diploma EnggSurat. 647 (Id: C23),Surat,Technical/Polytechnic,1147,259,1406,48,17,65,1,0,21.64,10.55
319,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Sigma Institute of Technology and Engg.( Polytechnic) 648 (Id: C289),Vadodara,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
320,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Sir Bhavsinhji Polytechnic Institute Bhavnagar 649 (Id: C288),Bhavnagar,Technical/Polytechnic,2696,436,3132,60,22,82,0,1,38.2,16.07
321,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Smt. R.S.Patel Insti. Of Diploma Engg. Shelavi Patan 681 (Id: C54),Patan,Technical/Polytechnic,201,10,211,38,3,41,1,0,5.15,5.05
322,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),S P B PATEL ENGINEERING COLLEGE (DIPLOMA COURSE)  693 (Id: C48579),Mahesana,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
323,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),SURAJ MUCHHALA POLYTECHNIC 977 (Id: C48672),Rajkot,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
324,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Swaminarayan College of Engg. Saij Kalol 671 (Id: C363),Gandhinagar,Technical/Polytechnic,1016,122,1138,49,21,70,0,0,16.26,5.42
325,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Swami Sacchidanand Polytechnic collegeVisnagar 650 (Id: C252),Mahesana,Technical/Polytechnic,1614,147,1761,93,17,110,1,1,16.01,12.01
326,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),TATVA INSTITUTE OF TECHNOLOGICAL STUDIES689 (Id: C48751),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
327,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),T.F.Gandhidham PolytechnicAdipur(Kutch) 651 (Id: C428),Kachchh,Technical/Polytechnic,418,59,477,23,3,26,0,0,18.35,6.12
328,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Tolani FoundationGandhidham Polytechnic(SFI) 653 (Id: C223),Kachchh,Technical/Polytechnic,590,91,681,21,11,32,1,0,21.29,10.43
329,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Tolani Institute Of Pharmacy (Diploma) Adipur 417 (Id: C465),Kachchh,Technical/Polytechnic,25,14,39,1,3,4,1,1,9.75,9.92
330,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),VALIA POLYTECHNIC COLLEGE (Id: C45258),Bharuch,Technical/Polytechnic,596,4,600,25,6,31,0,0,19.36,6.46
331,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),VALIA POLYTECHNIC COLLEGE 688 (Id: C45258),Bharuch,Technical/Polytechnic,596,4,600,25,6,31,1,0,19.36,9.79
332,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Vallabhbudhi polytechnic Navsari 655 (Id: C420),Navsari,Technical/Polytechnic,1454,265,1719,62,29,91,0,0,18.9,6.3
333,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Ved Vyas Polytechnic Himmatnagar 661 (Id: C293),Sabar Kantha,Technical/Polytechnic,1068,62,1130,32,10,42,1,0,26.91,12.31
334,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),VEERAYATAN GROUP OF INSTITUTIONS FACULTY OF ENGG (697) (Id: C47847),Kachchh,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
335,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Verdhman Bharti Trust Technical Institute Of Diploma Studies Wadhwan City 652 (Id: C325),Surendranagar,Technical/Polytechnic,1049,73,1122,31,16,47,1,0,23.88,11.3
336,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Vidhyabharti Trust Polytechnic InstituteUmrakh. (Id: C31),Junagadh,Technical/Polytechnic,1264,133,1397,53,13,66,1,0,21.17,10.39
337,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Vidhyabharti Trust Polytechnic InstituteUmrakh. 656 (Id: C31),Surat,Technical/Polytechnic,1264,133,1397,53,13,66,0,0,21.17,7.06
338,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),VIDHYADEEP INSTITUTE OF MA0GEMENT and TECHNOLOGY  963 (Id: C48583),Surat,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
339,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),V.P.M.P. Polytechnic Gandhinagar 654 (Id: C283),Gandhinagar,Technical/Polytechnic,1718,333,2051,62,32,94,1,0,21.82,10.61
340,Gujarat,Gujarat University Ahmedabad (Id: U0136),B. M. Institute of Mental Health (Id: C5800),Ahmadabad,Teacher Training,26,14,40,3,0,3,1,1,13.34,11.12
341,Gujarat,Gujarat University Ahmedabad (Id: U0136),DR B R AMBEDKAR COLLEGE OF NURSING (Id: C47897),Gandhinagar,Nursing,42,147,189,8,12,20,1,1,9.45,9.82
342,Gujarat,Gujarat University Ahmedabad (Id: U0136),G. L. S. (J. P. Shah) Institute of Business Administration (Id: C6071),Ahmadabad,Technical/Polytechnic,430,277,707,2,8,10,1,0,70.7,26.9
343,Gujarat,Gujarat University Ahmedabad (Id: U0136),MUNI SEVA ASHRAM COLLEGE OF NURSING (Id: C47908),Panch Mahals,Nursing,1,3,4,3,2,5,1,1,0.8,6.94
344,Gujarat,Gujarat University Ahmedabad (Id: U0136),National Institute of Mass Communication and Journalism (Id: C5793),Ahmadabad,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
345,Gujarat,Gujarat University Ahmedabad (Id: U0136),Prakash College of Education (Id: C5999),Ahmadabad,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
346,Gujarat,Gujarat University Ahmedabad (Id: U0136),SHARDA NURSING COLLEGE PANSAR (Id: C47903),Gandhinagar,Nursing,15,59,74,7,14,21,0,1,3.53,4.51
347,Gujarat,Gujarat University Ahmedabad (Id: U0136),Shubham Institute of Nursing Science and Research Center (Id: C6124),Ahmadabad,Nursing,80,220,300,11,25,36,1,1,8.34,9.45
348,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),ARVALLI COLLEGE OF COMP HIGH EDU(PGDCA) IDAR (Id: C6639),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
349,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),BDKM BCA COLLEGE PALANPUR (Id: C6852),Banas Kantha,Technical/Polytechnic,378,221,599,9,3,12,1,0,49.92,19.98
350,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),BHARAT EDUCATION TRUST SANCHALIT PGDCA COLLEGE (Id: C45105),Banas Kantha,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
351,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),D I PATEL INSTITUTE OF COMPUTER STUDIES PGDCA (Id: C6745),Patan,Teacher Training,0,0,0,0,0,0,0,0,0,0
352,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),D L PATEL INSTITUTE OF PGDCA COLLEGE (Id: C49516),Sabar Kantha,Technical/Polytechnic,30,22,52,0,2,2,0,1,26,12
353,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),DR N J SHAH PGDCA COLLEGE MODASA (Id: C46579),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
354,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),GOVT NURSING COLLEGEDHARPUR (Id: C19323),Patan,Nursing,11,129,140,0,6,6,1,1,23.34,14.45
355,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),GROWMORE INSTITUTE OF PGDCA COLLEGE BER0 (Id: C45124),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
356,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),JIVANJYOT COLLEGE OF EDUCATION VALAM (Id: C48508),Mahesana,Teacher Training,38,46,84,4,7,11,1,0,7.64,5.88
357,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),L N COLLEGE OF COMP and MA0GEMENT(PGDCA) (Id: C6753),Mahesana,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
358,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),MARCHANT INSTITUTE OF PG COURSES (Id: C6845),Mahesana,Technical/Polytechnic,24,21,45,4,0,4,0,0,11.25,3.75
359,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),MED COLLEGE VIDHYA0GARI (Id: C6839),Sabar Kantha,Teacher Training,6,13,19,3,0,3,1,0,6.34,5.45
360,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),MOTHER TERESA COLLEGE OF NURSING GOTHVA (Id: C45108),Mahesana,Nursing,1,19,20,4,17,21,1,0,0.96,3.66
361,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),0RSINHBHAI PATEL COLLEGE OF COMPUTER STUD and MGT (Id: C6717),Mahesana,Technical/Polytechnic,950,596,1546,15,13,28,1,0,55.22,21.74
362,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),NORTH GUJRAT EDUCATION TRUST SANCHALIT PGDCA COLL (Id: C6662),Patan,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
363,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),P and T PATEL COLLEGE OF EDUCATION (Id: C6815),Mahesana,Nursing,20,24,44,12,9,21,0,0,2.1,0.7
364,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),RKM PGDCA TECHNICAL COLLEGE VIJAYA0GAR (Id: C6846),Sabar Kantha,Technical/Polytechnic,51,18,69,4,1,5,1,1,13.8,11.27
365,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),S D SOLANKI BCA COLLEGE KUSKI (Id: C47444),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
366,Gujarat,Hemchandracharya North Gujart University Patan (Id: U0138),SHRI SHANKAR BED COLLEGE (Id: C6634),Patan,Teacher Training,40,56,96,3,4,7,1,1,13.72,11.24
