SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
31,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Nova's Institute of TechnologyTANGELLAMUDI VILLAGE ELURU MANDAL PIN534005(CC9F) (Id: C18017),West Godavari,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
32,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Sarada Institute of Science Technology And Management (SISTAM) Ampolu RoadPIN532404(CC51) (Id: C18163),Srikakulam,Technical/Polytechnic,757,187,944,124,47,171,0,1,5.53,5.18
33,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Sri Sivani College of Engineering Chilakapalem Junction Etcherla Mandal PIN532402 (CCW6) (Id: C18111),Srikakulam,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
34,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Sri Vatsavai Krishnam Raju College of Engineering and Technology Gollala Koderu Palakoderu (Mandal) Bhimavaram. PIN534202(CCMR) (Id: C18147),West Godavari,Teacher Training,0,0,0,0,0,0,0,0,0,0
35,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),VIG0N INSTITUTE OF PHARMACEUTICAL TECHNOLOGY Beside VSEZ Vadlapudi (PO)Jaggarajupeta(V)Gajuwaka PIN530049(CCAC)) (Id: C18033),Visakhapatnam,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
36,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),VRS and YRN College of Engineering and Technology Vodarevu Road Chirala(M)523157(CCL1) (Id: C18043),Prakasam,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
37,Andhra Pradesh,Rayalaseema University Kurnool (Id: U0031),JVRRM College of Education Nandyal (Id: C26251),Kurnool,Teacher Training,116,86,202,16,1,17,1,0,11.89,7.3
38,Andhra Pradesh,Sri Venkateswara University Tirupathy (Id: U0037),Global Institute of Advance Study in Education Palamaner (Id: C27690),Chittoor,Teacher Training,0,0,0,0,0,0,0,0,0,0
39,Andhra Pradesh,Vikram Simhapuri University Nellore (Id: U0044),St Mari College of Education Buchireddypalem (Id: C24778),Sri Potti Sriramulu Nellore,Teacher Training,47,53,100,7,4,11,1,1,9.1,9.7
40,Andhra Pradesh,Yogi Vemana University Kadapa (Id: U0045),DAW Degree College (Id: C30303),Y.S.R.,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
41,Assam,Dibrugarh University Dibrugarh (Id: U0051),D.D.R. College P.O. Chabua786184 (Id: C8402),Dibrugarh,Technical/Polytechnic,262,298,560,19,14,33,0,0,16.97,5.66
42,Assam,Gauhati University Guwahati (Id: U0052),Dr. B. Borooah Cancer Institute (Id: C17283),Kamrup,Technical/Polytechnic,3,1,4,3,1,4,1,1,1,7
43,Bihar,Aryabhatta Knoweledge University  Patna (Id: U0057),Mahavir Cancer Sansthan (Id: C49568),Patna,Nursing,18,2,20,3,4,7,0,1,2.86,4.29
44,Bihar,Bhupendra Narayan Mandal University Madhepura (Id: U0059),M.I.T. Rambagh (Id: C29598),Purnia,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
45,Bihar,Jai Prakash Vishwavidyalaya Chapra (Id: U0066),Gopeshwar CollegeHathua (Id: C19496),Gopalganj,Technical/Polytechnic,1892,2408,4300,13,0,13,1,1,330.77,116.93
46,Bihar,Magadh University Bodh Gaya (Id: U0069),M.D.College Naubatpur (Id: C12961),Patna,Technical/Polytechnic,395,358,753,15,2,17,1,0,44.3,18.1
47,Bihar,Maulana Azad National Urdu University Hyderabad (Id: U0023),MANUU POLYTECHNIC DARBHANGA (Id: C46612),Darbhanga,Technical/Polytechnic,288,33,321,18,0,18,1,0,17.84,9.28
48,Bihar,Veer Kunwar Singh University Arrah (Id: U0077),Harinarayan Singh Institute of Teachers Education Sasaram (Id: C36588),Rohtas,Teacher Training,31,69,100,7,4,11,0,0,9.1,3.04
49,Chandigarh,Panjab UniversityChandigarh (Id: U0078),Chandigarh College of Engineering and Technology Sector26 (Id: C29359),Chandigarh,Technical/Polytechnic,946,108,1054,31,22,53,0,0,19.89,6.63
50,Chhatisgarh,Ayush and Health Science University of Chattisgarh Raipur (Id: U0081),C.G. COLLEGE OF NURSING SECT.02 BAJAJ COLONY NEW RAJENDRA 0GAR (Id: C32977),Raipur,Nursing,6,34,40,9,11,20,0,1,2,4
51,Chhatisgarh,Ayush and Health Science University of Chattisgarh Raipur (Id: U0081),GOVT.COLLEGE OF NURSING KAWARDHAOLD DISTT. HOSPITAL CAMPUS (Id: C32969),Kabeerdham,Nursing,0,1,1,0,7,7,0,1,0.15,3.39
52,Chhatisgarh,Ayush and Health Science University of Chattisgarh Raipur (Id: U0081),M.J.COLLEGE OF NURSING KOHKA JUNWANI ROAD NEAR C.B.S.C. SUBSTATION BHILAI (Id: C32986),Durg,Nursing,43,90,133,4,17,21,1,0,6.34,5.45
53,Chhatisgarh,Ayush and Health Science University of Chattisgarh Raipur (Id: U0081),SHREYAS COLLEGE OF NURSING G.E.ROAD SUPELA BHILAI (Id: C32959),Durg,Nursing,24,150,174,10,28,38,0,0,4.58,1.53
54,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),C.P.M. Arts/Science College Sarangarh (Id: C22337),Raigarh,Technical/Polytechnic,451,402,853,13,5,18,1,0,47.39,19.13
55,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),D.P. Vipra College of Education Bilaspur (Id: C22347),Bilaspur,Teacher Training,54,83,137,4,8,12,1,1,11.42,10.48
56,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),MAHAMAYA TECHNICAL COLLEGE RATANPUR (Id: C49153),Bilaspur,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
57,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),Panchvati Mahavidyalaya Mopka (Id: C9732),Bilaspur,Technical/Polytechnic,36,24,60,3,0,3,0,1,20,10
58,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),SANSKRITI MAHAVIDYALAYA MEU PAMGARH (Id: C49159),Janjgir  Champa,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
59,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),AGRASEN POLYTECHNIC COLLEGE DAGANIA (Id: C49636),Janjgir  Champa,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
60,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),BHARTI COLLEGE OF POLYTECHNIC DURG (Id: C49522),Durg,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
61,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),B R P Govt. Polytechnic Dhamatari (Id: C16660),Dhamtari,Technical/Polytechnic,626,234,860,14,9,23,1,0,37.4,15.8
62,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Columbia College of Pharmacy Raipur (Id: C16632),Raipur,Technical/Polytechnic,77,43,120,4,3,7,0,1,17.15,9.05
63,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Garv Institute of Management and Technology Purai Bhilai (Id: C16640),Durg,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
