AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-9004,140046-MGSM'S SMT.SHARADCHAN,Maharashtra,19,363,2,10.0,66,19.10526316,50.583866
C-8823,140052-BM'S COLLEGE OF SOCIAL,Maharashtra,13,274,0,0.0,61,21.07692308,37.985725
C-8878,140065-PS&SSS PANKAJ ARTS,Maharashtra,13,486,0,0.0,76,37.38461538,64.263084
C-8927,"150026-JDMVP CO-OP S'S ARTS,",Maharashtra,14,1079,0,10.0,80,77.07142857,127.90425
C-9012,150027-TMES'S J.T.MAHAJAN,Maharashtra,78,813,2,0.0,93,10.42307692,102.42961
C-8881,150028 - TAPI VALLEY EDUCATION,Maharashtra,109,2339,1,10.0,81,21.4587156,259.52948
C-8806,150029-TVES'S COLLEGE OF,Maharashtra,4,44,1,10.0,57,11.0,11.534059
C-8851,150051-TVES'S HON'BLE,Maharashtra,20,259,2,10.0,75,12.95,38.30267
C-8820,150056-SES'S ARTS & SCIENCE,Maharashtra,28,1258,1,10.0,90,44.92857143,148.5509
C-8981,160030-YCSPM'S DADASAHEB,Maharashtra,24,1348,1,10.0,71,56.16666667,153.67601
C-8885,160031-PRHSS'S ARTS & COMMERCE,Maharashtra,20,3064,1,10.0,62,153.2,325.99866
C-8983,"170032-JTES'S ARTS,COMMERCE &",Maharashtra,44,2720,1,10.0,39,61.81818182,287.1689
C-8894,170033-SSE CO-OP S'S LATE R.B.,Maharashtra,22,1783,1,10.0,68,81.04545455,197.17447
C-8980,"170034-PT CO-OP ES'S ARTS,SCIENCE",Maharashtra,47,5862,0,0.0,76,124.72340430000001,612.975
C-8987,170096-SHREE SURESHDADA,Maharashtra,16,270,1,10.0,99,16.875,41.173958
C-8942,170111-PDUSPM'S INSTITUTE OF,Maharashtra,4,81,0,0.0,100,20.25,18.996763
C-8880,180035-VBES'S SANT MUKTABAI,Maharashtra,16,796,1,10.0,95,49.75,101.10476
C-8910,180036-ETES'S S.G.G.K. SCIENCE &,Maharashtra,44,4562,1,10.0,62,103.68181820000001,479.0602
C-8856,180037-RPSPM'S SHRI VITTHALRAO,Maharashtra,19,826,1,10.0,77,43.47368421,101.063354
C-8891,180038-JSM'S SGVPC COLLEGE OF,Maharashtra,7,28,2,10.0,59,4.0,9.90913
C-8956,180049-APSPM'S SARDAR,Maharashtra,27,360,1,10.0,87,13.33333333,51.70767
C-8863,"190040-KVPS'S KISAN ARTS,",Maharashtra,39,1276,0,10.0,72,32.71794872,147.17612
C-8897,190041-PTSS'S SAU. RAJNITAI N.,Maharashtra,28,783,0,10.0,72,27.96428571,95.89491
C-9003,190042-SSPM'S RANI LAXMIBAI,Maharashtra,30,2586,0,10.0,90,86.2,283.657
C-8901,190097-SSPM'S COLLEGE OF,Maharashtra,5,77,1,10.0,75,15.4,16.585384
C-8916,200001-JAI HIND ET'S ZULAL,Maharashtra,64,2748,1,10.0,77,42.9375,298.60797
